rcdc_name,INCa/INSERM/DGOS share,National Cancer Institute share,Cancer Research UK share,Wellcome Trust share,National Health and Medical Research Council share,average_share
CERVICAL CANCER,0.0027951981805288805,0.0035507541505245426,0.004804429211084722,0.0015683344816819053,0.005058587720485278,0.0035554607488610655
GENETIC TESTING,0.002734072317357224,0.003414191853060338,0.00378125269921001,0.006407210268371059,0.005568882526713816,0.00438112193294249
CLIMATE-RELATED EXPOSURES AND CONDITIONS,0.0026463329206558323,0.0031223042418187115,0.0022112260559309536,0.0013547932585487453,0.006693246602885153,0.003205580615967879
PAIN CONDITIONS - CHRONIC,0.0025600010779599325,0.002516694464449034,0.0029738166814349334,0.001845809043825626,0.003431043114778054,0.002665472876489516
SUBSTANCE ABUSE,0.002514468195044744,0.006012993464124174,0.006937916508866688,0.0030434638791003604,0.007392157109777544,0.005180199831382702
BIODEFENSE,0.002115865372868747,0.0023122106050684163,0.0018887161394486641,0.0022943159912758347,0.00519463045818464,0.0027611477133692606
SEXUALLY TRANSMITTED DISEASES/HERPES,0.0020677080162143533,0.003176893844654587,0.003695459347405775,0.004871513987917819,0.006950777545657042,0.004152470548369916
HEPATITIS,0.0020439076553222836,0.0009758819728388326,0.0006758962399397721,0.0015158553038572549,0.0020418275124600453,0.0014506737368836376
NANOTECHNOLOGY,0.0019757319798003286,0.009424714086832377,0.001134913990711395,0.0035905247049776382,0.0027362778304043365,0.0037724325185452155
EYE DISEASE AND DISORDERS OF VISION,0.0018079702724594043,0.0016613713666185244,0.0035741194761705446,0.0025222379636296068,0.0027173049575158017,0.002456600807278776
REHABILITATION,0.0017598003358784487,0.00435154846396091,0.002529051804899444,0.0012843440091042109,0.005410292891467589,0.0030670075010621202
DEPRESSION,0.0016663957789146686,0.00240957127742333,0.00238289581215492,0.0007482329625070645,0.0038338222637921446,0.0022081836189584256
INFLAMMATORY BOWEL DISEASE,0.0016502207888933465,0.0008407251913385079,0.000998192775086873,0.0014685958922668401,0.000846979235533453,0.0011609427766238042
"ALCOHOLISM, ALCOHOL USE AND HEALTH",0.001615707491564753,0.0015570913321854378,0.0014955450577049572,0.001049002930810767,0.0024690284479441118,0.0016372750520420054
ORGAN TRANSPLANTATION,0.001534430951494767,0.000728739442578229,0.0007076082840000797,0.0007236531419591085,0.0015613781615287663,0.00105116199631219
ARTHRITIS,0.0013003492690811065,0.001331570202089792,0.002948899386739489,0.00526472660272042,0.001998558907444451,0.0025688208736150517
UTERINE CANCER,0.001279638516648862,0.0014371214544711495,0.0009105224341724967,0.0020078036091692405,0.0018868911941201105,0.0015043954417163718
MIND AND BODY,0.0011974119233214891,0.0033741506373581977,0.0032797311752941764,0.0006773966292743728,0.005730073388205905,0.0028517527506908284
COST EFFECTIVENESS RESEARCH,0.0011665827166233995,0.0010155581949835425,0.0020138432099503683,0.004570051960720143,0.002102522791528816,0.002173711774761254
INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS,0.0011073102959654163,0.0012179421066820836,0.0007990492136578362,0.0011341554992993785,0.002415394584069286,0.0013347703399348002
CROHN'S DISEASE,0.0009826795657319892,0.00032886178905351183,0.00038322137840764874,0.0009332590132460076,0.0003749634961984358,0.0006005970485275186
INFERTILITY,0.00094259293085284,0.00044222274523002643,0.00032910429415243146,0.0009891926206346624,0.0009967153039442205,0.0007399655789628362
NEUROBLASTOMA,0.0008324253529414514,0.0005297206679634205,0.0007699143561429033,0.000475403405821224,0.000861320119603254,0.0006937567804944507
ATHEROSCLEROSIS,0.000808780251997734,0.0015673660719713108,0.0010630236467406822,0.003098025098512821,0.0012755736588567932,0.0015625537456158683
HEPATITIS - C,0.0007798948052348029,0.0004039108577986429,0.00010273352989970823,0.0005073026289088718,0.0008335876558768154,0.0005254858955437683
PERINATAL PERIOD - CONDITIONS ORIGINATING IN PERINATAL PERIOD,0.0007503996083561347,0.0010878480725641092,0.0009185302163535729,0.0016607829930866832,0.002971860972613984,0.0014778843725948968
GENE THERAPY,0.0007474489166922039,0.0019187502505755164,0.0017449686725534365,0.0011129304049154482,0.0010283803017236768,0.0013104957092920564
ASTHMA,0.0007357929158463854,0.0009330694496594336,0.0007316437109237444,0.0004848224446663724,0.003616751433016497,0.0013004159908224864
ASSISTIVE TECHNOLOGY,0.000704797374563735,0.0002882233682325877,0.0002295242081763639,0.0003251503820516989,0.00040041924454575035,0.00038962291551402717
PNEUMONIA & INFLUENZA,0.0006986611659400216,0.00046113327735450163,0.00043577707349159837,0.00043682405493493116,0.0020342308745923275,0.0008133252892626761
HYPERTENSION,0.0006874217004404149,0.0008173033165777447,0.0012273017201857716,0.0016571056970991942,0.0014270240550361044,0.001163231297867846
ACQUIRED COGNITIVE IMPAIRMENT,0.0006253965338005786,0.0008369342304117675,0.00044957286794875727,0.0005349556601385573,0.0020025440206163153,0.0008898806625831951
INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (IDD),0.0006042115073848186,0.0003985946982686185,0.0006986386015268387,0.0012427970158420492,0.0009822483655314996,0.000785298037710765
HEART DISEASE - CORONARY HEART DISEASE,0.0005779637594120914,0.001541461419053192,0.0013347385835874733,0.0024102475858287908,0.0011489086978544833,0.001402664009147206
VECTOR-BORNE DISEASES,0.0005698147625382309,0.0006172830096849937,0.0004478197027380785,0.0006375269990942239,0.0019161595780571726,0.00083772081042254
STROKE,0.0005615581374037726,0.0008362677384606703,0.0012500913578770419,0.0006570747303961415,0.0013108440254524616,0.0009231671979180176
OSTEOPOROSIS,0.0005505646793569609,0.0012270376201139563,0.0014767087245111522,0.0005448204318306741,0.002757046525871824,0.0013112355963369134
ANTIMICROBIAL RESISTANCE,0.0005086972859842788,0.0009648594682397782,0.0005292610974904822,0.0023832748836813207,0.0012831578155373356,0.0011338501101866392
SEPTICEMIA,0.0004866949944248562,0.00023781288655508713,0.00012637285973409875,0.0001341245325963258,0.00038042291430845647,0.00027308563752376485
HEPATITIS - B,0.0004858413872711206,0.00028950930815223444,8.10235762098466e-05,0.00046986693466940566,0.0005121317433064417,0.00036767458992180977
LUPUS,0.00047460987830626325,0.0005782948472386705,0.0004227710339053997,0.00035921375540949596,0.000539804003659425,0.00047493870370385083
SCHIZOPHRENIA,0.000450193638616282,0.00020526860085883235,0.0002595907650323724,0.00020676725684041567,0.0005269936181080754,0.0003297627758911956
DEMENTIA,0.0004427360000997102,0.0006824366041047366,0.0004282449562901633,0.0004807639297966075,0.001682546204383558,0.0007433455389349551
CYSTIC FIBROSIS,0.00042657692314788676,0.00014273826512940793,6.218979848113376e-05,0.00012193139326938709,0.0008240975484951388,0.00031550678570459086
PSORIASIS,0.0004236248337143373,0.00022002520380654228,0.00041396745666314524,0.00025083029472559626,0.00013398187343970476,0.0002884859324698651
PNEUMONIA,0.00036705849503710714,0.00017800110555917287,0.0002501378673417184,5.6901316859047304e-05,0.0007512595426752051,0.00032067166549445015
SLEEP RESEARCH,0.0003664742273367172,0.0014245020127485997,0.0006111841974127448,0.00041998591015011104,0.0017271474161534408,0.0009098587527603227
DRUG ABUSE (NIDA ONLY),0.00034929746658213457,0.00189598012210667,0.0017980891254227374,0.0006162491205573632,0.0020349907586353394,0.0013389213186608489
INFANT MORTALITY/ (LBW),0.0003363690653008333,0.0005728331972047248,0.000629173393928521,0.0010184174466405002,0.002228004242311479,0.0009569594690772117
ALZHEIMER'S DISEASE INCLUDING ALZHEIMER'S DISEASE RELATED DEMENTIAS (AD/ADRD),0.0003253596941845228,0.0005510714941653332,0.00022405028579160015,0.00034238147553055704,0.0013839095729156028,0.0005653545045175231
INFLUENZA,0.00031651933895337375,0.00029137699689731766,0.0002424471951470696,0.000352826872904909,0.0013325906586448767,0.0005071522125095093
CONGENITAL STRUCTURAL ANOMALIES,0.00031015389611228276,0.0003357522875401821,0.0006274292890031693,0.0007668129843385901,0.000603144560222873,0.0005286586034434195
NEUROFIBROMATOSIS,0.0003092313681642986,0.00041871761967537523,8.072714225916402e-05,2.709586517097491e-05,4.5330937650214763e-05,0.0001762205865840055
HPV AND/OR CERVICAL CANCER VACCINES,0.000308631724998109,0.0005759201565397119,0.0006259841734935909,0.0006012056369721788,0.001280049265742038,0.0006783581915491257
PARKINSON'S DISEASE,0.0003020677988712397,0.0002204377506343385,0.00020316330801889613,6.0965696634693545e-05,0.0003477420269588941,0.0002268753162236124
TUBERCULOSIS,0.0002920108464685939,0.0003363510797419761,0.00014050841489100173,0.001670524601755296,0.0003339290236880597,0.0005546647933089855
ALZHEIMER'S DISEASE,0.0002907033942719169,0.000508830545898726,0.00022405028579160015,0.0003017376777740946,0.0013144532346339632,0.0005279550276740602
MULTIPLE SCLEROSIS,0.0002878916194038827,0.00021178145649972167,0.0001693941145594557,0.0001263828568331901,0.0006115928555687587,0.00028140858057300176
PERIPHERAL NEUROPATHY,0.00027598961110526847,0.00030800167943891005,0.00045441408040822,0.0003808904475462758,0.0006176976244747323,0.00040739868859468133
FOODBORNE ILLNESS,0.0002687323912477929,0.0007581314379707871,0.0003153009494575004,0.00017928430788128398,0.0011777402402402414,0.0005398378653595212
STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA,0.00026020180326817555,0.00014839308922058247,7.018097013911162e-05,,0.0001266974911553225,
STEM CELL RESEARCH - EMBRYONIC - NON-HUMAN,0.000249359304340125,0.0006528167320192851,0.000977529284352222,0.0003403111637545063,0.0005003326162964711,0.000544069820152522
ENDOMETRIOSIS,0.00024640721490657564,0.00017063129616373769,0.00010085909625465925,0.00018289708990408063,0.0004370522631064797,0.0002275693920671066
STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA - HUMAN,0.00020964727171864222,0.00011013782748923458,3.6295503017981046e-05,,8.441930505183516e-05,
PERINATAL - BIRTH - PRETERM (LBW),0.00018774981288058125,0.0003974525196430645,0.00039405143946793185,0.0006535909763027305,0.0016515180295300844,0.0006568725555648785
SERIOUS MENTAL ILLNESS,0.00017157622062887666,0.00033521000259939657,0.00029649783730989265,0.0003108927958545907,0.0006658001198663846,0.00035599539525182824
MALARIA,0.00016886874087850492,0.00014878962309158029,0.00018748297421382392,0.0002769584504261792,0.0008065005429463257,0.0003177200663112828
RHEUMATOID ARTHRITIS,0.00016402546915158798,0.00010976389178507841,0.00031583248619665525,0.0009920957490458387,0.00011537462591679461,0.000339418444419191
MUSCULAR DYSTROPHY,0.0001561546284317411,5.974803711019976e-05,2.1676732643664412e-05,2.3225027289407064e-05,0.00018588672579636438,8.933823025427534e-05
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0.00015390841265536142,0.0005491548071937152,0.0002992717946673577,0.00037547127451208087,0.0014157337199505893,0.0005587080017958209
AGENT ORANGE & DIOXIN,0.00014917276918904258,7.360386386242348e-05,2.092925910422771e-05,,1.594214696624335e-05,
ACUTE RESPIRATORY DISTRESS SYNDROME,0.00012444902018306643,0.00014443533060849465,4.11608762383145e-05,5.419173034194982e-05,0.00010202489494658172,9.325237046368143e-05
HODGKIN'S DISEASE,0.00012112791957032338,9.559458060939079e-05,0.0002443740158265065,0.00024928195957296917,5.877758136794281e-05,0.00015383121138942652
EPILEPSY,0.00011994400870374366,0.00018130500966462016,0.00011981170311015432,0.0001708329785065275,0.0004864293079654524,0.0002156646015900996
DIGESTIVE DISEASES - (PEPTIC ULCER),0.00011928286367435502,0.00018223976601768998,0.00046183898423329144,0.0002682490651926516,0.0006351661472143393,0.0003333553652664654
INJURY - TRAUMA - (HEAD AND SPINE),0.00010847391121714033,0.00020111519281379932,7.086049153859952e-05,0.00012193139326938709,0.0005994156220059829,0.00022035932216898186
SICKLE CELL DISEASE,0.00010522968793339595,0.0001070037057326748,5.2323147760569277e-05,9.483552809841216e-05,4.516941640435617e-05,8.091229718588167e-05
RURAL HEALTH,0.00010233910036304551,0.0013295864430957337,0.0002978931212501744,0.00016257519102584944,0.0015601821701219298,0.0006905152051713467
ATAXIA TELANGIECTASIA,0.00010193933825225234,0.00020398828679309115,0.0003096699821270772,0.0002128960834862314,0.00026631696435913297,0.00021896213100355702
STEM CELL RESEARCH - EMBRYONIC - HUMAN,9.760345689672668e-05,0.0003336826602496826,0.00021213299049213663,0.00011244784045954587,0.0004730803111827205,0.00024578945185616246
STEM CELL RESEARCH - INDUCED PLURIPOTENT STEM CELL,9.609666124835252e-05,0.00020908039521087902,0.00014878045539410125,0.00013702766100750168,0.00025560883994618915,0.0001693188025614047
SPINAL CORD INJURY,9.468211839477678e-05,0.00010541329459971526,6.697362913352866e-05,3.483754093411059e-05,0.00019444735182686987,9.927078697780022e-05
ADOLESCENT SEXUAL ACTIVITY,9.289856436200734e-05,0.00018840475438483133,0.00011486176722677351,0.001120672080678584,0.0004229771549048656,0.0003879628643114123
INJURY - TRAUMATIC BRAIN INJURY,9.266793237501132e-05,9.795094879047783e-05,,4.064379775646236e-05,0.000410153102171174,
HOMELESSNESS,9.16992780296279e-05,4.360543695066397e-05,,,1.1871811570606749e-05,
DOWN SYNDROME,8.945585779248455e-05,4.983302034493248e-05,4.725693821549828e-05,2.709586517097491e-05,6.689498406365878e-05,5.61073331175098e-05
DIGESTIVE DISEASES - (GALLBLADDER),8.785820711893012e-05,0.00010194587357004447,0.00013672121562452244,0.00016709116855434525,0.00012359605733099711,0.00012344250443976787
POLYCYSTIC KIDNEY DISEASE,8.754790226369908e-05,0.00010131751898647046,9.348402399888377e-05,9.212594158131468e-05,3.547006559054752e-05,8.19890904841831e-05
POST-TRAUMATIC STRESS DISORDER (PTSD),8.653312152091648e-05,0.0001687183637093582,3.2789172596623416e-05,5.419173034194982e-05,0.00013037334196972755,9.452114602771509e-05
SCLERODERMA,8.52415823937386e-05,0.00010259624596921539,,0.0004714680539749634,3.45978508629111e-05,
EMERGENCY CARE,8.07211954486161e-05,0.00020123436616535152,0.0001534812334310032,,0.00033071475089547386,
SUICIDE,8.007542588502718e-05,0.0001117082342700999,0.00017640375530706217,9.483552809841216e-05,0.00027372271348174965,0.00014734913140847022
ALS,7.989092029543035e-05,7.457172392425781e-05,6.659309714981543e-05,,0.00041254288242240024,
PEDIATRIC AIDS,7.684657806708254e-05,0.00014060423069462834,0.0001131176623014212,0.000676041836015824,0.00020026211667777932,0.00024137448475134706
TUBEROUS SCLEROSIS,7.361773024913789e-05,0.00011664884732516542,2.092925910422771e-05,0.00014902725844036197,3.2223488548789754e-05,7.848931673353655e-05
CONDITIONS AFFECTING THE EMBRYONIC AND FETAL PERIODS,7.232619112196003e-05,0.00023603236893576614,0.0002722796946321434,0.000238830697292736,0.0003523931046521406,0.0002343724113269492
PHYSICAL REHABILITATION,7.14651650371748e-05,0.00012089151102288208,7.464769080507882e-05,4.064379775646236e-05,0.00031685622800080635,0.0001249008785244809
HEALTH EFFECTS OF INDOOR AIR POLLUTION,7.140366317397585e-05,0.00017971295222914957,8.371703641691085e-06,0.00039198684947343705,0.00018427958940007134,0.00016715095158366497
HUNTINGTON'S DISEASE,6.966623553860563e-05,5.1079792477499635e-05,6.976419701409236e-06,5.574006549457696e-05,8.723028301341555e-05,5.41385592451014e-05
STEM CELL RESEARCH - INDUCED PLURIPOTENT STEM CELL - HUMAN,6.962010914120642e-05,0.0001261984086207938,7.544499591381132e-05,8.128759551292472e-05,0.00019019273537345825,0.0001085487689124389
AUTISM,6.918959609881381e-05,9.959001467678445e-05,2.8370773452397565e-05,0.0001264473707978829,0.0002943497107653731,0.0001235894931582504
ATTENTION DEFICIT DISORDER (ADD),6.69447780920523e-05,5.864237323746151e-05,1.744104925352309e-05,,0.0004708270898029933,
COOLEY'S ANEMIA,6.393118679530396e-05,3.6051371956928146e-05,,,5.96417200332863e-05,
EMPHYSEMA,6.0917595498555625e-05,0.0001230694271181171,1.860378587042463e-05,2.709586517097491e-05,0.00018621784435037442,8.318090360168934e-05
UNDERAGE DRINKING,5.993356568737249e-05,0.00017166443981867077,0.00010255336961071579,4.064379775646236e-05,0.0002432752244499231,0.00012361407946462891
HEADACHES,5.825763991520122e-05,5.462609390086362e-05,,,6.462465046802396e-05,
FIBROID TUMORS (UTERINE),5.2953104214292164e-05,6.821796743178914e-05,5.581135761127389e-05,0.000298054516880724,4.579127320091175e-05,0.00010416564386779819
ANXIETY DISORDERS,5.2953104214292164e-05,0.00016023303631392484,3.83703083577508e-05,2.709586517097491e-05,0.00019010316450075485,9.375109571153951e-05
FOOD ALLERGIES,4.843271726916967e-05,0.00011502953706899105,0.0001060415794614204,4.064379775646236e-05,0.0007314812661198198,0.00020832577953517267
VIOLENCE RESEARCH,4.751018932118549e-05,0.0002525292557644524,6.667463971775398e-05,0.00027095865170974906,0.0003843243865834226,0.0002043994246193127
HYDROCEPHALUS,4.584963901481395e-05,1.929776853165017e-05,1.3952839402818473e-05,,9.15825464018235e-06,
ALLERGIC RHINITIS (HAY FEVER),4.1975021633280376e-05,1.3515551420271052e-05,6.278777731268313e-05,,6.275100401606425e-05,
SUICIDE PREVENTION,4.003771294251359e-05,4.7209583996069556e-05,7.016284956845862e-05,9.483552809841216e-05,0.00015029625345890408,8.05083856128716e-05
MACULAR DEGENERATION,4.003771294251359e-05,0.00014471309382064056,0.00014510952978931215,0.0006537845181968088,0.0001574832147121305,0.00022822561389228114
TRANSMISSIBLE SPONGIFORM ENCEPHALOPATHY (TSE),3.810040425174681e-05,1.8384508862447214e-05,3.5365313724459806e-05,,3.4363645056416135e-05,
MYASTHENIA GRAVIS,3.551732599739109e-05,5.335086086949099e-06,,6.503007641033979e-05,1.3083220914546215e-05,
OSTEOARTHRITIS,3.459479804940691e-05,0.00013909331583831567,4.883493790986465e-05,0.0006450751329632814,0.000123725274327684,0.00019826469181771054
PRESCRIPTION DRUG ABUSE,3.2288478179446445e-05,5.433658153698442e-05,1.744104925352309e-05,,0.00014797768939335204,
TEENAGE PREGNANCY,2.90596303615018e-05,2.6685592503482542e-05,1.744104925352309e-05,0.00016722019648373086,5.1299147684689854e-05,5.8341123257385624e-05
TUBERCULOSIS VACCINE,2.850611359271129e-05,2.0701827695485346e-05,1.8720059532114783e-05,2.709586517097491e-05,1.562718053681909e-05,2.2130209305621083e-05
MIGRAINES,2.7906470426521566e-05,3.8976508045812946e-05,,,3.5768879895385916e-05,
CHRONIC FATIGUE SYNDROME (ME/CFS),2.5830782543557157e-05,6.9071581205701e-05,9.76698758197293e-05,0.00018967105619682433,5.087919244545751e-06,7.74662430020715e-05
MYOTONIC DYSTROPHY,2.5446395898563745e-05,5.258870571421254e-06,,,2.5439596222728755e-06,
HUMAN FETAL TISSUE,2.490825459557297e-05,7.801112227953258e-05,,2.032189887823118e-05,3.0560553903927396e-05,
SPINAL MUSCULAR ATROPHY,2.490825459557297e-05,1.1835422722412795e-05,,6.386882504586943e-05,1.8833377267112208e-05,
DUCHENNE/ BECKER MUSCULAR DYSTROPHY,2.111191231265624e-05,2.2829241388512058e-05,,,3.622113938378998e-05,
VACCINE RELATED (AIDS),2.0664626034845726e-05,0.00033056701498173556,2.092925910422771e-05,8.670676854711971e-05,0.00026227012296289393,0.00014422755832616454
CANNABINOID RESEARCH,1.9373086907667866e-05,0.00011513115775636149,1.063073478309979e-05,,0.00013797952427470504,
MAJOR DEPRESSIVE DISORDER,1.851206082288263e-05,3.794685834225224e-05,3.906795032789173e-05,8.670676854711971e-05,5.552292826389212e-05,4.755131326080768e-05
INTERSTITIAL CYSTITIS,1.7435778216901082e-05,4.947911268067649e-05,,,,
DYSTONIA,1.45298151807509e-05,5.477355049267741e-06,2.092925910422771e-05,,6.614295017909476e-06,
FIBROMYALGIA,1.2915391271778579e-05,6.209193366147332e-05,,,5.087919244545751e-06,
CEREBRAL PALSY,1.2915391271778579e-05,2.187908796159827e-05,2.6327679111270572e-05,,0.00016543226257081676,
FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY,1.1992863323794394e-05,6.1277274484386795e-06,,,7.631878866818626e-06,
STEM CELL RESEARCH - INDUCED PLURIPOTENT STEM CELL - NON-HUMAN,1.107033537581021e-05,2.83572528107266e-05,1.627831263662155e-05,2.3225027289407064e-05,3.4218275935143404e-05,2.2629840809541766e-05
FRONTOTEMPORAL DEMENTIA (FTD),1.0083940108350196e-05,1.6929284037838107e-05,3.8053198371323113e-06,,8.152344372223892e-05,
OTITIS MEDIA,9.686543453833933e-06,2.7569692483605536e-05,2.132791165859395e-05,,0.00018838222904487965,
INJURY - CHILDHOOD INJURIES,9.686543453833933e-06,3.2020678590431644e-05,2.092925910422771e-05,2.709586517097491e-05,0.00011372710920903692,4.069189110570102e-05
