="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="rsr_career_age_2",="",="",="-0.002***",="",="",="",="-0.002***",=""
="",="",="",="(0.000)",="",="",="",="(0.000)",=""
="Constant",="1.778***",="1.614***",="0.545***",="1.607***",="1.736***",="1.628***",="0.341***",="1.838***"
="",="(0.034)",="(0.039)",="(0.037)",="(0.010)",="(0.084)",="(0.114)",="(0.115)",="(0.048)"
="Observations",="132913",="132913",="132913",="132913",="126544",="126544",="126544",="126544"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
