INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_779,ur.0743322405.07,,,Géraldine,LE DUC,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0743322405.07,,
inca_780,ur.0732305327.36,,,Anne-Laurence,LE FAOU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0732305327.36,,
inca_781,ur.01214402443.00,,,Chantal,LE GUELLEC,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01214402443.00,,
inca_782,ur.0714564042.37,,,Sandra,LE GUYADER-PEYROU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0714564042.37,,
inca_783,ur.01104541475.09,,,Cécile,LE PECHOUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01104541475.09,,
inca_785,ur.01143357564.76,,,Alexandra,LEARY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01143357564.76,,
inca_786,ur.0645017242.26,,,Pierre,LEBAILLY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0645017242.26,,
inca_787,ur.01054652653.34,,,Celeste,LEBBE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01054652653.34,,
inca_789,ur.0742700333.26,,,Serge,LEBECQUE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0742700333.26,,
inca_790,ur.01326163416.38,,,Eric,LEBLANC,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01326163416.38,,
inca_791,ur.01304561424.72,,,Pierre,LEBLOND,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01304561424.72,,
inca_794,ur.01214460355.65,,,Sophie,LEBOULLEUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01214460355.65,,
inca_795,ur.0621226525.47,,,Rachida,LEBTAHI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0621226525.47,,
inca_796,ur.01120350174.26,,,Claude,LECLERC,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01120350174.26,,
inca_797,ur.01301401477.50,ur.0677217143.34,,Jean-Louis,LEFEBVRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01301401477.50,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0677217143.34,
inca_798,ur.01051523447.32,ur.013736360265.41,,Jérémie,LEFEVRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01051523447.32,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.013736360265.41,
inca_799,ur.01174265451.08,,,François,LEFRERE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01174265451.08,,
inca_800,ur.0702316632.19,,,Patrick,LEGEMBRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0702316632.19,,
inca_802,ur.01135135507.25,,,David,LEGER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01135135507.25,,
inca_803,ur.01002524357.08,,,Gaëlle,LEGUBE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01002524357.08,,
inca_804,ur.01223443342.00,,,Catherine,LEJEUNE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01223443342.00,,
inca_805,ur.01000342436.11,,,Jean-Marc,LEMAITRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01000342436.11,,
inca_806,ur.0776336307.46,,,Laurent,LEMAITRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0776336307.46,,
inca_807,ur.0733530253.81,ur.01050452414.02,,Frédérick,LEMARCHAND,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0733530253.81,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01050452414.02,
inca_809,ur.01327662437.49,,,Ana-Maria,LENNON-DUMENIL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01327662437.49,,
inca_810,ur.01364014043.47,ur.01161334570.04,,Lissbeth,LEON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01364014043.47,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01161334570.04,
inca_811,ur.0651555261.89,,,Caroline,LEROUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0651555261.89,,
inca_812,ur.012044411665.62,,,Jean Michel,LETANG,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.012044411665.62,,
inca_813,ur.01105023444.16,,,Vincent,LEVY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01105023444.16,,
inca_814,ur.01117111471.08,,,Christelle,LEVY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01117111471.08,,
inca_815,ur.01144241361.34,,,Rosette,LIDEREAU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01144241361.34,,
inca_817,ur.01363277123.30,,,Karine,LIGIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01363277123.30,,
inca_818,ur.013207324237.64,,,Danièle,LINHART,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.013207324237.64,,
inca_819,ur.01245216122.42,,,Arturo,LONDONO-VALLEJO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01245216122.42,,
inca_820,ur.01172026661.39,,,Christine,LONGVERT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01172026661.39,,
inca_821,ur.01145170171.74,,,Michel,LONGY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01145170171.74,,
inca_822,ur.0716663104.94,,,Marie,LOOSVELD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0716663104.94,,
inca_823,ur.01145231221.34,,,Bernard,LOPEZ,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01145231221.34,,
inca_824,ur.0575564007.39,,,Yohann,LORIOT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0575564007.39,,
inca_825,ur.0605637126.14,,,Vincent,LOTTEAU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0605637126.14,,
inca_826,ur.01343032313.38,,,Fawzia,LOUACHE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01343032313.38,,
inca_827,ur.0575433445.28,,,Pierre,LOULERGUE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0575433445.28,,
inca_828,ur.01245226451.70,,,Danièle,LUCE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01245226451.70,,
inca_830,ur.01237044535.67,ur.01007332502.68,,Alain,LUCIANI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01237044535.67,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01007332502.68,
inca_831,ur.011063772471.25,,,Livia,LUMBROSO-LE ROUIC,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.011063772471.25,,
inca_832,ur.01343540663.31,,,Per,LUND,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01343540663.31,,
inca_833,ur.01154330565.78,,,Marc-André,MAHE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01154330565.78,,
inca_834,ur.0637470777.08,,,Renaud,MAHIEUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0637470777.08,,
inca_835,ur.01030775727.87,ur.07761537102.45,,François-Xavier,MAHON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01030775727.87,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.07761537102.45,
inca_837,ur.01055176030.00,,,Lydia,MAIGNE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01055176030.00,,
inca_838,ur.01116020265.34,,,Philippe,MAILLARD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01116020265.34,,
inca_839,ur.01004164366.17,,,Flavio,MAINA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01004164366.17,,
inca_840,ur.01335315766.40,ur.015373341325.93,,Philippe,MAINGON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01335315766.40,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.015373341325.93,
inca_841,ur.01205040604.22,,,Marc,MAKEIEFF,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01205040604.22,,
inca_842,ur.01030003625.43,,,David,MALKA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01030003625.43,,
inca_843,ur.01305447544.73,,,Fathia,MAMI-CHOUAIB,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01305447544.73,,
inca_845,ur.01140331032.07,,,Jacqueline,MANDELBAUM,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01140331032.07,,
inca_846,ur.0763025325.03,,,Michel,MANFAIT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0763025325.03,,
inca_847,ur.01060211002.57,,,Fanny,MANN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01060211002.57,,
inca_848,ur.01003436171.35,,,Jean Baptiste,MANNEVILLE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01003436171.35,,
inca_849,ur.0746230417.54,,,Aurélien,MARABELLE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0746230417.54,,
inca_850,ur.01022373444.41,,,Ambroise,MARCAIS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01022373444.41,,
inca_851,ur.01214052434.08,,,Frédéric,MARCHAL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01214052434.08,,
inca_852,ur.0653577754.96,,,Antonio,MARCHINI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0653577754.96,,
inca_853,ur.01273277707.39,,,Raphaël,MARGUERON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01273277707.39,,
inca_854,ur.01252660107.10,,,Julien,MARIE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01252660107.10,,
inca_855,ur.01246003137.42,ur.013346632743.35,,Christophe,MARIETTE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01246003137.42,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.013346632743.35,
inca_858,ur.0756110364.46,,,Philippe,MARIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0756110364.46,,
